60	mud flat	a relatively level area of mud either between high and low tide lines, or subject to flooding	has_hypernym;549	108600618-n;DGM_equivalent	H.FLTM
61	tidal flat	a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide	has_hypernym;549	109281411-n;DGM_hyponym	H.FLTT
62	glacier	a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses		109289331-n;DGM_equivalent	H.GLCR
63	gulf	a large recess in the coastline, larger than a bay		109296121-n;DGM_equivalent	H.GULF
64	geyser	a type of hot spring with intermittent eruptions of jets of hot water and steam		109288635-n;DGM_equivalent	H.GYSR
65	harbor	a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships		108639058-n;DGM_equivalent	H.HBR
66	section of harbor		meronym;65		H.HBRX
67	inlet	a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water	meronym;153	109313716-n;DGM_equivalent	H.INLT
68	former inlet	an inlet which has been filled in, or blocked by deposits	meronym;153	109313716-n;DGM_hyponym	H.INLTQ
69	lake bed	a dried up or drained area of a former lake	has_hypernym;73	109330378-n;DGM_equivalent	H.LBED
70	lagoon	a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature		109328746-n;DGM_equivalent	H.LGN
71	lagoons	shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature		109328746-n;DGM_equivalent	H.LGNS
72	section of lagoon		has_hypernym;70		H.LGNX
73	lake	a large inland body of standing water		109328904-n;DGM_equivalent	H.LK
74	crater lake	a lake in a crater or caldera	has_hypernym;73	109328904-n;DGM_hyponym	H.LKC
75	intermittent lake		has_hypernym;73	109328904-n;DGM_hyponym	H.LKI
76	salt lake	an inland body of salt water with no outlet	has_hypernym;73	109328904-n;DGM_hyponym	H.LKN
77	intermittent salt lake		has_hypernym;73	109328904-n;DGM_hyponym	H.LKNI
78	oxbow lake	a crescent-shaped lake commonly found adjacent to meandering streams	meronym;153	109382191-n;DGM_hyponym	H.LKO
79	intermittent oxbow lake		meronym;153	109382191-n;DGM_hyponym	H.LKOI
80	lakes	large inland bodies of standing water		109328904-n;DGM_equivalent	H.LKS
81	underground lake	a standing body of water in a cave	has_hypernym;73	109328904-n;DGM_hyponym	H.LKSB
82	crater lakes	lakes in a crater or caldera	has_hypernym;73	109328904-n;DGM_hyponym	H.LKSC
83	intermittent lakes		has_hypernym;73	109328904-n;DGM_hyponym	H.LKSI
84	salt lakes	inland bodies of salt water with no outlet	has_hypernym;73	109328904-n;DGM_hyponym	H.LKSN
85	intermittent salt lakes		has_hypernym;73	109328904-n;DGM_hyponym	H.LKSNI
86	section of lake		meronym;73		H.LKX
87	salt evaporation ponds	diked salt ponds used in the production of solar evaporated salt		109397391-n;DGM_hyponym	H.MFGN
88	mangrove swamp	a tropical tidal mud flat characterized by mangrove vegetation		109452395-n;DGM_hyponym	H.MGV
89	moor	an area of open ground overlaid with wet peaty soils		109358751-n;DGM_equivalent	H.MOOR
90	marsh(es)	a wetland dominated by grass-like vegetation		109347779-n;DGM_equivalent	H.MRSH
91	salt marsh	a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants		109420794-n;DGM_hyponym	H.MRSHN
